locus	genome	seqname	strand	start	end	chromosome
group2321	Thamnophis-elegans	NC_045547.1	+	84541367	84558234	7
group2322	Thamnophis-elegans	NC_045552.1	+	8280757	8295566	12
group2323	Thamnophis-elegans	NC_045556.1	-	37440001	37446778	16
group2324	Thamnophis-elegans	NC_045556.1	+	16801341	16808874	16
group2325	Thamnophis-elegans	NC_045547.1	+	30140002	30155732	7
group2326	Thamnophis-elegans	NA	NA	NA	NA	NA
group2327	Thamnophis-elegans	NC_045557.1	+	8980322	8997610	17
group2328	Thamnophis-elegans	NW_022473899.1	+	328444	334882	na
group2329	Thamnophis-elegans	NC_045550.1	-	2949965	2959999	10
group2330	Thamnophis-elegans	NC_045547.1	+	56740117	56746382	7
group2331	Thamnophis-elegans	NC_045554.1	-	35147097	35159996	14
group2332	Thamnophis-elegans	NC_045545.1	-	63980001	63981444	5
group2333	Thamnophis-elegans	NC_045558.1	+	110240001	110255768	Z
group2334	Thamnophis-elegans	NC_045558.1	+	125484038	125492027	Z
group2335	Thamnophis-elegans	NC_045542.1	-	143440001	143445884	2
group2336	Thamnophis-elegans	NA	NA	NA	NA	NA
group2337	Thamnophis-elegans	NC_045549.1	-	68060669	68076581	9
group2338	Thamnophis-elegans	NA	NA	NA	NA	NA
group2339	Thamnophis-elegans	NC_045546.1	-	63135340	63140000	6
group2340	Thamnophis-elegans	NC_045542.1	+	166460445	166466484	2
group2341	Thamnophis-elegans	NA	NA	NA	NA	NA
group2342	Thamnophis-elegans	NA	NA	NA	NA	NA
group2343	Thamnophis-elegans	NC_045547.1	-	79328549	79340000	7
group2344	Thamnophis-elegans	NC_045552.1	+	66811	79999	12
group2345	Thamnophis-elegans	NC_045558.1	+	112909941	112919958	Z
group2346	Thamnophis-elegans	NC_045544.1	+	111344922	111348598	4
group2347	Thamnophis-elegans	NA	NA	NA	NA	NA
group2348	Thamnophis-elegans	NC_045546.1	-	1	12009	6
group2349	Thamnophis-elegans	NC_045558.1	+	7725330	7739883	Z
group2350	Thamnophis-elegans	NC_045549.1	+	224024	239999	9
group2351	Thamnophis-elegans	NC_045542.1	+	24450394	24455966	2
group2352	Thamnophis-elegans	NC_045553.1	-	21822668	21834497	13
group2353	Thamnophis-elegans	NA	NA	NA	NA	NA
group2354	Thamnophis-elegans	NC_045546.1	-	1350514	1359999	6
group2355	Thamnophis-elegans	NC_045553.1	-	22303365	22313633	13
group2356	Thamnophis-elegans	NA	NA	NA	NA	NA
group2357	Thamnophis-elegans	NC_045542.1	+	172381262	172399716	2
group2358	Thamnophis-elegans	NA	NA	NA	NA	NA
group2359	Thamnophis-elegans	NC_045558.1	+	109580406	109594026	Z
group2360	Thamnophis-elegans	NC_045551.1	+	71140276	71146035	11
group2361	Thamnophis-elegans	NC_045549.1	+	63944	79299	9
group2362	Thamnophis-elegans	NC_045557.1	+	4580981	4595135	17
group2363	Thamnophis-elegans	NC_045556.1	+	1652370	1656508	16
group2364	Thamnophis-elegans	NC_045543.1	+	30522799	30530770	3
group2365	Thamnophis-elegans	NC_045553.1	-	47541366	47557674	13
group2366	Thamnophis-elegans	NC_045542.1	-	19491650	19500000	2
group2367	Thamnophis-elegans	NC_045548.1	+	47380001	47380610	8
group2368	Thamnophis-elegans	NC_045557.1	+	4500840	4513301	17
group2369	Thamnophis-elegans	NC_045546.1	-	51067921	51077564	6
group2370	Thamnophis-elegans	NA	NA	NA	NA	NA
group2371	Thamnophis-elegans	NC_045551.1	+	68095771	68099999	11
group2372	Thamnophis-elegans	NC_045543.1	-	111120017	111126017	3
group2373	Thamnophis-elegans	NC_045557.1	-	3962722	3977201	17
group2374	Thamnophis-elegans	NC_045557.1	-	345880	352917	17
group2375	Thamnophis-elegans	NA	NA	NA	NA	NA
group2376	Thamnophis-elegans	NC_045545.1	+	96381470	96394396	5
group2377	Thamnophis-elegans	NC_045548.1	-	14462703	14469296	8
group2378	Thamnophis-elegans	NA	NA	NA	NA	NA
group2379	Thamnophis-elegans	NC_045554.1	+	2320001	2332376	14
group2380	Thamnophis-elegans	NC_045552.1	-	5520111	5535568	12
group2381	Thamnophis-elegans	NA	NA	NA	NA	NA
group2382	Thamnophis-elegans	NC_045549.1	+	75080402	75096040	9
group2383	Thamnophis-elegans	NA	NA	NA	NA	NA
group2384	Thamnophis-elegans	NA	NA	NA	NA	NA
group2385	Thamnophis-elegans	NC_045557.1	-	4280001	4296235	17
group2386	Thamnophis-elegans	NC_045556.1	-	294520	300000	16
group2387	Thamnophis-elegans	NC_045541.1	+	179534138	179540000	1
group2388	Thamnophis-elegans	NC_045553.1	-	20132154	20138697	13
group2389	Thamnophis-elegans	NC_045542.1	-	154627781	154639206	2
group2390	Thamnophis-elegans	NC_045554.1	-	39152686	39157541	14
group2391	Thamnophis-elegans	NC_045558.1	+	123040257	123059534	Z
group2392	Thamnophis-elegans	NC_045545.1	-	100240192	100255438	5
group2393	Thamnophis-elegans	NC_045558.1	+	144811202	144820000	Z
group2394	Thamnophis-elegans	NW_022473589.1	-	102011	106775	na
group2395	Thamnophis-elegans	NA	NA	NA	NA	NA
group2396	Thamnophis-elegans	NA	NA	NA	NA	NA
group2397	Thamnophis-elegans	NC_045558.1	+	142103338	142116429	Z
group2398	Thamnophis-elegans	NC_045558.1	-	144184942	144193430	Z
group2399	Thamnophis-elegans	NC_045555.1	+	8589257	8595554	15
group2400	Thamnophis-elegans	NC_045557.1	-	7210579	7220000	17
group2401	Thamnophis-elegans	NC_045547.1	-	33300001	33306594	7
group2402	Thamnophis-elegans	NA	NA	NA	NA	NA
group2403	Thamnophis-elegans	NA	NA	NA	NA	NA
group2404	Thamnophis-elegans	NA	NA	NA	NA	NA
group2405	Thamnophis-elegans	NC_045545.1	+	97540001	97551229	5
group2406	Thamnophis-elegans	NC_045549.1	+	38920580	38936436	9
group2407	Thamnophis-elegans	NC_045547.1	-	14809276	14812193	7
group2408	Thamnophis-elegans	NA	NA	NA	NA	NA
group2409	Thamnophis-elegans	NC_045550.1	-	35120002	35132499	10
group2410	Thamnophis-elegans	NC_045547.1	-	80780160	80798469	7
group2411	Thamnophis-elegans	NC_045547.1	+	880018	883452	7
group2412	Thamnophis-elegans	NC_045549.1	+	33895621	33899930	9
group2413	Thamnophis-elegans	NA	NA	NA	NA	NA
group2414	Thamnophis-elegans	NC_045546.1	-	1840036	1859919	6
group2415	Thamnophis-elegans	NC_045541.1	-	116125432	116135939	1
group2416	Thamnophis-elegans	NA	NA	NA	NA	NA
group2417	Thamnophis-elegans	NC_045558.1	-	127000740	127020000	Z
group2418	Thamnophis-elegans	NC_045552.1	+	270104	271555	12
group2419	Thamnophis-elegans	NC_045544.1	+	127140721	127159448	4
group2420	Thamnophis-elegans	NC_045544.1	-	73661721	73673286	4
group2421	Thamnophis-elegans	NC_045545.1	-	81507341	81515861	5
group2422	Thamnophis-elegans	NC_045549.1	-	66580001	66599987	9
group2423	Thamnophis-elegans	NA	NA	NA	NA	NA
group2424	Thamnophis-elegans	NC_045556.1	-	30989376	30998631	16
group2425	Thamnophis-elegans	NC_045550.1	-	63940087	63959121	10
group2426	Thamnophis-elegans	NC_045544.1	+	136243414	136254870	4
group2427	Thamnophis-elegans	NC_045541.1	+	100390992	100400000	1
group2428	Thamnophis-elegans	NC_045555.1	-	24128574	24140000	15
group2429	Thamnophis-elegans	NC_045553.1	-	1000001	1005632	13
group2430	Thamnophis-elegans	NC_045558.1	+	1784040	1793413	Z
group2431	Thamnophis-elegans	NC_045556.1	+	24542350	24549040	16
group2432	Thamnophis-elegans	NC_045542.1	+	156540001	156549637	2
group2433	Thamnophis-elegans	NC_045557.1	-	4566899	4574580	17
group2434	Thamnophis-elegans	NC_045543.1	-	4420001	4435759	3
group2435	Thamnophis-elegans	NC_045547.1	+	56127813	56139608	7
group2436	Thamnophis-elegans	NC_045544.1	-	36514133	36520000	4
group2437	Thamnophis-elegans	NC_045542.1	-	65700001	65705634	2
group2438	Thamnophis-elegans	NA	NA	NA	NA	NA
group2439	Thamnophis-elegans	NC_045544.1	-	142620001	142634938	4
group2440	Thamnophis-elegans	NC_045543.1	-	28671879	28680000	3
group2441	Thamnophis-elegans	NC_045544.1	+	13560246	13579686	4
group2442	Thamnophis-elegans	NC_045558.1	-	141854742	141859997	Z
group2443	Thamnophis-elegans	NC_045541.1	-	148621857	148631900	1
group2444	Thamnophis-elegans	NC_045556.1	+	460001	461454	16
group2445	Thamnophis-elegans	NA	NA	NA	NA	NA
group2446	Thamnophis-elegans	NC_045543.1	+	127020379	127032902	3
group2447	Thamnophis-elegans	NC_045547.1	+	80000216	80019174	7
group2448	Thamnophis-elegans	NC_045545.1	+	51192576	51200000	5
group2449	Thamnophis-elegans	NA	NA	NA	NA	NA
group2450	Thamnophis-elegans	NA	NA	NA	NA	NA
group2451	Thamnophis-elegans	NC_045555.1	-	5780120	5793045	15
group2452	Thamnophis-elegans	NC_045551.1	-	68220004	68226093	11
group2453	Thamnophis-elegans	NC_045553.1	-	19720001	19727655	13
group2454	Thamnophis-elegans	NC_045554.1	-	414492	416458	14
group2455	Thamnophis-elegans	NC_045555.1	+	18220001	18231221	15
group2456	Thamnophis-elegans	NC_045541.1	-	171440002	171459860	1
group2457	Thamnophis-elegans	NC_045548.1	+	74668808	74679632	8
group2458	Thamnophis-elegans	NC_045558.1	-	113666963	113680000	Z
group2459	Thamnophis-elegans	NC_045541.1	+	67140346	67146049	1
group2460	Thamnophis-elegans	NA	NA	NA	NA	NA
group2461	Thamnophis-elegans	NC_045558.1	+	97520001	97530100	Z
group2462	Thamnophis-elegans	NA	NA	NA	NA	NA
group2463	Thamnophis-elegans	NC_045550.1	-	3668422	3671778	10
group2464	Thamnophis-elegans	NC_045557.1	+	4796092	4800000	17
group2465	Thamnophis-elegans	NC_045557.1	-	1107680	1113693	17
group2466	Thamnophis-elegans	NC_045541.1	+	162238787	162240000	1
group2467	Thamnophis-elegans	NA	NA	NA	NA	NA
group2468	Thamnophis-elegans	NA	NA	NA	NA	NA
group2469	Thamnophis-elegans	NA	NA	NA	NA	NA
group2470	Thamnophis-elegans	NC_045558.1	+	134060051	134078666	Z
group2471	Thamnophis-elegans	NC_045545.1	+	97684180	97696893	5
group2472	Thamnophis-elegans	NC_045545.1	-	100221327	100236951	5
group2473	Thamnophis-elegans	NC_045546.1	-	11455819	11459998	6
group2474	Thamnophis-elegans	NA	NA	NA	NA	NA
group2475	Thamnophis-elegans	NC_045552.1	-	54629432	54637685	12
group2476	Thamnophis-elegans	NC_045558.1	+	6003911	6019134	Z
group2477	Thamnophis-elegans	NC_045554.1	+	4020001	4030052	14
group2478	Thamnophis-elegans	NC_045543.1	-	149554248	149556930	3
group2479	Thamnophis-elegans	NC_045543.1	-	19752482	19759988	3
group2480	Thamnophis-elegans	NC_045549.1	+	57320001	57334758	9
group2481	Thamnophis-elegans	NC_045558.1	+	108247342	108251798	Z
group2482	Thamnophis-elegans	NC_045558.1	-	47680001	47687761	Z
group2483	Thamnophis-elegans	NC_045557.1	+	4520308	4536316	17
group2484	Thamnophis-elegans	NC_045558.1	+	120481303	120499758	Z
group2485	Thamnophis-elegans	NC_045543.1	-	122851816	122859996	3
group2486	Thamnophis-elegans	NC_045558.1	+	21785022	21798952	Z
group2487	Thamnophis-elegans	NC_045558.1	-	123684672	123695944	Z
group2488	Thamnophis-elegans	NC_045544.1	+	39502119	39506001	4
group2489	Thamnophis-elegans	NC_045552.1	-	4440002	4460000	12
group2490	Thamnophis-elegans	NC_045541.1	+	185026566	185031606	1
group2491	Thamnophis-elegans	NC_045542.1	+	162060119	162066975	2
group2492	Thamnophis-elegans	NC_045548.1	+	74861044	74869393	8
group2493	Thamnophis-elegans	NC_045542.1	-	13223273	13236934	2
group2494	Thamnophis-elegans	NC_045542.1	-	173446745	173449921	2
group2495	Thamnophis-elegans	NA	NA	NA	NA	NA
group2496	Thamnophis-elegans	NA	NA	NA	NA	NA
group2497	Thamnophis-elegans	NA	NA	NA	NA	NA
group2498	Thamnophis-elegans	NA	NA	NA	NA	NA
group2499	Thamnophis-elegans	NC_045552.1	+	31423048	31434200	12
group2500	Thamnophis-elegans	NC_045549.1	-	75362182	75379976	9
group2501	Thamnophis-elegans	NC_045541.1	-	142062516	142078709	1
group2502	Thamnophis-elegans	NC_045542.1	+	168140234	168159908	2
group2503	Thamnophis-elegans	NC_045556.1	-	37387622	37389820	16
group2504	Thamnophis-elegans	NW_022473874.1	+	779	15801	na
group2505	Thamnophis-elegans	NC_045558.1	+	115180001	115189415	Z
group2506	Thamnophis-elegans	NC_045554.1	+	26400024	26417960	14
group2507	Thamnophis-elegans	NC_045542.1	+	163622279	163635402	2
group2508	Thamnophis-elegans	NC_045557.1	+	1280001	1295436	17
group2509	Thamnophis-elegans	NC_045558.1	-	125707511	125715741	Z
group2510	Thamnophis-elegans	NC_045556.1	-	274529	280000	16
group2511	Thamnophis-elegans	NC_045553.1	+	19792278	19794522	13
group2512	Thamnophis-elegans	NA	NA	NA	NA	NA
group2513	Thamnophis-elegans	NC_045542.1	-	154143300	154159897	2
group2514	Thamnophis-elegans	NC_045558.1	+	108195321	108199810	Z
group2515	Thamnophis-elegans	NA	NA	NA	NA	NA
group2516	Thamnophis-elegans	NW_022473749.1	-	22069	34832	na
group2517	Thamnophis-elegans	NC_045558.1	+	114420470	114439786	Z
group2518	Thamnophis-elegans	NA	NA	NA	NA	NA
group2519	Thamnophis-elegans	NC_045548.1	+	75060082	75068632	8
group2520	Thamnophis-elegans	NA	NA	NA	NA	NA
group2521	Thamnophis-elegans	NC_045558.1	-	22784248	22799668	Z
group2522	Thamnophis-elegans	NC_045556.1	-	5149561	5159864	16
group2523	Thamnophis-elegans	NC_045542.1	-	40043373	40052672	2
group2524	Thamnophis-elegans	NC_045558.1	+	110443436	110460000	Z
group2525	Thamnophis-elegans	NC_045547.1	-	35696011	35700000	7
group2526	Thamnophis-elegans	NC_045543.1	+	36880639	36899998	3
group2527	Thamnophis-elegans	NC_045543.1	+	23480001	23489719	3
group2528	Thamnophis-elegans	NC_045542.1	+	14078096	14079999	2
group2529	Thamnophis-elegans	NC_045542.1	+	167263369	167277877	2
group2530	Thamnophis-elegans	NC_045553.1	+	18620001	18626320	13
group2531	Thamnophis-elegans	NC_045555.1	-	4022783	4039897	15
group2532	Thamnophis-elegans	NA	NA	NA	NA	NA
group2533	Thamnophis-elegans	NC_045558.1	+	110060015	110078502	Z
group2534	Thamnophis-elegans	NC_045545.1	-	59900004	59905061	5
group2535	Thamnophis-elegans	NA	NA	NA	NA	NA
group2536	Thamnophis-elegans	NC_045545.1	+	74821576	74839741	5
group2537	Thamnophis-elegans	NC_045542.1	-	152280001	152287889	2
group2538	Thamnophis-elegans	NC_045548.1	+	80028215	80038074	8
group2539	Thamnophis-elegans	NA	NA	NA	NA	NA
group2540	Thamnophis-elegans	NC_045558.1	-	137127020	137137100	Z
group2541	Thamnophis-elegans	NC_045547.1	+	3060008	3070215	7
group2542	Thamnophis-elegans	NC_045549.1	-	77294874	77300000	9
group2543	Thamnophis-elegans	NC_045555.1	-	34640062	34659908	15
group2544	Thamnophis-elegans	NC_045558.1	-	35714583	35720000	Z
group2545	Thamnophis-elegans	NC_045554.1	-	36741529	36757070	14
group2546	Thamnophis-elegans	NC_045548.1	-	24580001	24597690	8
group2547	Thamnophis-elegans	NC_045558.1	-	109802996	109813379	Z
group2548	Thamnophis-elegans	NC_045547.1	-	29005489	29018075	7
group2549	Thamnophis-elegans	NC_045549.1	-	58266432	58276211	9
group2550	Thamnophis-elegans	NC_045545.1	-	44728872	44740000	5
group2551	Thamnophis-elegans	NC_045558.1	+	110360472	110372334	Z
group2552	Thamnophis-elegans	NC_045552.1	-	11060001	11080000	12
group2553	Thamnophis-elegans	NC_045555.1	+	444668	456683	15
group2554	Thamnophis-elegans	NC_045542.1	-	154936769	154940000	2
group2555	Thamnophis-elegans	NC_045551.1	+	70601004	70615190	11
group2556	Thamnophis-elegans	NC_045552.1	-	55140001	55149805	12
group2557	Thamnophis-elegans	NC_045557.1	-	1900827	1914076	17
group2558	Thamnophis-elegans	NC_045556.1	+	28634308	28639786	16
group2559	Thamnophis-elegans	NA	NA	NA	NA	NA
group2560	Thamnophis-elegans	NC_045551.1	+	35260618	35280000	11
group2561	Thamnophis-elegans	NC_045551.1	-	71281790	71291426	11
group2562	Thamnophis-elegans	NC_045558.1	+	31863857	31874933	Z
group2563	Thamnophis-elegans	NC_045542.1	-	146706643	146720000	2
group2564	Thamnophis-elegans	NC_045558.1	-	109562197	109574536	Z
group2565	Thamnophis-elegans	NC_045548.1	+	39656826	39659999	8
group2566	Thamnophis-elegans	NC_045543.1	+	67120209	67134151	3
group2567	Thamnophis-elegans	NC_045547.1	+	76940038	76950154	7
group2568	Thamnophis-elegans	NC_045554.1	-	552521	559996	14
group2569	Thamnophis-elegans	NC_045541.1	-	78140427	78154658	1
group2570	Thamnophis-elegans	NC_045541.1	-	960001	978405	1
group2571	Thamnophis-elegans	NC_045541.1	-	67606853	67618667	1
group2572	Thamnophis-elegans	NC_045556.1	+	33063938	33080000	16
group2573	Thamnophis-elegans	NC_045558.1	-	132029740	132039461	Z
group2574	Thamnophis-elegans	NC_045549.1	-	24271645	24279999	9
group2575	Thamnophis-elegans	NC_045547.1	+	1240059	1254619	7
group2576	Thamnophis-elegans	NC_045558.1	-	108901852	108920000	Z
group2577	Thamnophis-elegans	NA	NA	NA	NA	NA
group2578	Thamnophis-elegans	NC_045543.1	+	122154716	122160000	3
group2579	Thamnophis-elegans	NC_045554.1	-	42540001	42554542	14
group2580	Thamnophis-elegans	NC_045551.1	+	15723282	15727359	11
group2581	Thamnophis-elegans	NC_045544.1	+	35244293	35251258	4
group2582	Thamnophis-elegans	NA	NA	NA	NA	NA
group2583	Thamnophis-elegans	NC_045550.1	-	46472087	46478595	10
group2584	Thamnophis-elegans	NC_045542.1	-	146484249	146497789	2
group2585	Thamnophis-elegans	NA	NA	NA	NA	NA
group2586	Thamnophis-elegans	NA	NA	NA	NA	NA
group2587	Thamnophis-elegans	NC_045546.1	-	360100	367988	6
group2588	Thamnophis-elegans	NC_045555.1	-	2947259	2955317	15
group2589	Thamnophis-elegans	NC_045554.1	-	36764636	36771686	14
group2590	Thamnophis-elegans	NC_045546.1	-	15560001	15570441	6
group2591	Thamnophis-elegans	NC_045558.1	+	112204241	112212408	Z
group2592	Thamnophis-elegans	NC_045546.1	-	686182	692075	6
group2593	Thamnophis-elegans	NC_045554.1	-	60870	66174	14
group2594	Thamnophis-elegans	NC_045541.1	-	67642917	67660000	1
group2595	Thamnophis-elegans	NC_045543.1	-	32589503	32598517	3
group2596	Thamnophis-elegans	NC_045541.1	-	69840820	69859980	1
group2597	Thamnophis-elegans	NC_045547.1	-	77821736	77833545	7
group2598	Thamnophis-elegans	NC_045542.1	-	171485068	171497268	2
group2599	Thamnophis-elegans	NC_045542.1	-	169100063	169119914	2
group2600	Thamnophis-elegans	NC_045542.1	-	170209223	170217275	2
group2601	Thamnophis-elegans	NA	NA	NA	NA	NA
group2602	Thamnophis-elegans	NC_045558.1	-	97124739	97128887	Z
group2603	Thamnophis-elegans	NC_045558.1	-	144308764	144316392	Z
group2604	Thamnophis-elegans	NC_045541.1	-	67662647	67679872	1
group2605	Thamnophis-elegans	NC_045554.1	-	9808585	9820000	14
group2606	Thamnophis-elegans	NC_045558.1	-	110660763	110676204	Z
group2607	Thamnophis-elegans	NC_045558.1	+	44123105	44131287	Z
group2608	Thamnophis-elegans	NC_045550.1	-	61040001	61043552	10
group2609	Thamnophis-elegans	NC_045543.1	-	3666780	3668536	3
group2610	Thamnophis-elegans	NC_045558.1	-	36233505	36238806	Z
group2611	Thamnophis-elegans	NC_045556.1	-	20500943	20508420	16
group2612	Thamnophis-elegans	NA	NA	NA	NA	NA
group2613	Thamnophis-elegans	NC_045550.1	-	43164892	43169313	10
group2614	Thamnophis-elegans	NC_045551.1	+	55564671	55573033	11
group2615	Thamnophis-elegans	NC_045558.1	+	83880001	83882687	Z
group2616	Thamnophis-elegans	NC_045557.1	+	4220001	4232298	17
group2617	Thamnophis-elegans	NC_045557.1	+	4200843	4213357	17
group2618	Thamnophis-elegans	NC_045557.1	+	4017004	4018420	17
group2619	Thamnophis-elegans	NC_045557.1	-	3965836	3977814	17
group2620	Thamnophis-elegans	NC_045557.1	-	4515529	4520000	17
group2621	Thamnophis-elegans	NC_045557.1	-	4432813	4437429	17
group2622	Thamnophis-elegans	NA	NA	NA	NA	NA
group2623	Thamnophis-elegans	NC_045557.1	-	4022150	4039852	17
group2624	Thamnophis-elegans	NC_045557.1	-	3891380	3894046	17
group2625	Thamnophis-elegans	NC_045557.1	+	3880137	3883171	17
group2626	Thamnophis-elegans	NC_045551.1	+	71262823	71277032	11
group2627	Thamnophis-elegans	NC_045545.1	+	45491516	45500000	5
group2628	Thamnophis-elegans	NC_045544.1	+	24400305	24413102	4
group2629	Thamnophis-elegans	NC_045551.1	+	3840129	3856350	11
group2630	Thamnophis-elegans	NC_045541.1	+	139626060	139639998	1
group2631	Thamnophis-elegans	NA	NA	NA	NA	NA
group2632	Thamnophis-elegans	NC_045554.1	-	37770598	37779524	14
group2633	Thamnophis-elegans	NA	NA	NA	NA	NA
group2634	Thamnophis-elegans	NC_045549.1	+	58374291	58376086	9
group2635	Thamnophis-elegans	NC_045541.1	-	26429507	26434730	1
group2636	Thamnophis-elegans	NA	NA	NA	NA	NA
group2637	Thamnophis-elegans	NC_045541.1	-	144163734	144180000	1
group2638	Thamnophis-elegans	NA	NA	NA	NA	NA
group2639	Thamnophis-elegans	NA	NA	NA	NA	NA
group2640	Thamnophis-elegans	NA	NA	NA	NA	NA
group2641	Thamnophis-elegans	NA	NA	NA	NA	NA
group2642	Thamnophis-elegans	NC_045542.1	-	146941000	146960000	2
group2643	Thamnophis-elegans	NC_045546.1	-	440026	450675	6
group2644	Thamnophis-elegans	NC_045558.1	+	137960271	137977542	Z
group2645	Thamnophis-elegans	NC_045541.1	-	181122411	181139752	1
group2646	Thamnophis-elegans	NC_045542.1	+	6310467	6320000	2
group2647	Thamnophis-elegans	NC_045552.1	+	10740120	10759167	12
group2648	Thamnophis-elegans	NC_045542.1	-	170226166	170233427	2
group2649	Thamnophis-elegans	NC_045558.1	-	108880002	108893583	Z
group2650	Thamnophis-elegans	NC_045558.1	+	109282775	109294841	Z
group2651	Thamnophis-elegans	NC_045558.1	-	134941526	134956609	Z
group2652	Thamnophis-elegans	NC_045541.1	+	68680559	68689546	1
group2653	Thamnophis-elegans	NC_045550.1	-	46606338	46620000	10
group2654	Thamnophis-elegans	NC_045542.1	-	154160190	154173137	2
group2655	Thamnophis-elegans	NA	NA	NA	NA	NA
group2656	Thamnophis-elegans	NA	NA	NA	NA	NA
group2657	Thamnophis-elegans	NC_045557.1	+	3980195	3989256	17
group2658	Thamnophis-elegans	NC_045543.1	+	24749035	24751611	3
group2659	Thamnophis-elegans	NC_045558.1	-	108875300	108879186	Z
group2660	Thamnophis-elegans	NC_045554.1	+	45240336	45256536	14
group2661	Thamnophis-elegans	NC_045558.1	-	110942754	110957130	Z
group2662	Thamnophis-elegans	NC_045558.1	-	108889925	108898849	Z
group2663	Thamnophis-elegans	NC_045542.1	+	153385604	153395914	2
group2664	Thamnophis-elegans	NC_045558.1	-	127580001	127593101	Z
group2665	Thamnophis-elegans	NC_045558.1	+	110002855	110020000	Z
group2666	Thamnophis-elegans	NC_045557.1	-	4260559	4280000	17
group2667	Thamnophis-elegans	NC_045557.1	-	12931192	12937696	17
group2668	Thamnophis-elegans	NC_045558.1	-	108825347	108839994	Z
group2669	Thamnophis-elegans	NC_045542.1	+	149900001	149901622	2
group2670	Thamnophis-elegans	NC_045558.1	-	134765949	134780000	Z
group2671	Thamnophis-elegans	NC_045558.1	-	7980001	7988452	Z
group2672	Thamnophis-elegans	NC_045541.1	-	67220354	67239158	1
group2673	Thamnophis-elegans	NC_045546.1	-	514404	519999	6
group2674	Thamnophis-elegans	NC_045558.1	-	119902640	119915950	Z
group2675	Thamnophis-elegans	NC_045557.1	+	4297447	4300000	17
group2676	Thamnophis-elegans	NC_045541.1	-	67260083	67276793	1
group2677	Thamnophis-elegans	NA	NA	NA	NA	NA
group2678	Thamnophis-elegans	NC_045558.1	+	134100012	134119549	Z
group2679	Thamnophis-elegans	NC_045542.1	-	49520001	49521904	2
group2680	Thamnophis-elegans	NC_045557.1	-	3861322	3867889	17
group2681	Thamnophis-elegans	NC_045542.1	+	162844078	162857657	2
group2682	Thamnophis-elegans	NC_045553.1	+	33960001	33973272	13
group2683	Thamnophis-elegans	NC_045558.1	-	111383186	111384941	Z
group2684	Thamnophis-elegans	NC_045558.1	-	100191273	100199920	Z
group2685	Thamnophis-elegans	NA	NA	NA	NA	NA
group2686	Thamnophis-elegans	NC_045558.1	-	127788820	127800000	Z
group2687	Thamnophis-elegans	NC_045557.1	-	4340001	4341783	17
group2688	Thamnophis-elegans	NC_045542.1	-	171603106	171605323	2
group2689	Thamnophis-elegans	NA	NA	NA	NA	NA
group2690	Thamnophis-elegans	NA	NA	NA	NA	NA
group2691	Thamnophis-elegans	NC_045542.1	-	12260001	12278350	2
group2692	Thamnophis-elegans	NC_045557.1	+	4260001	4271291	17
group2693	Thamnophis-elegans	NC_045558.1	+	137060887	137070157	Z
group2694	Thamnophis-elegans	NA	NA	NA	NA	NA
group2695	Thamnophis-elegans	NA	NA	NA	NA	NA
group2696	Thamnophis-elegans	NC_045555.1	-	1016671	1020000	15
group2697	Thamnophis-elegans	NC_045553.1	+	2593600	2600000	13
group2698	Thamnophis-elegans	NC_045544.1	+	135402460	135419408	4
group2699	Thamnophis-elegans	NA	NA	NA	NA	NA
group2700	Thamnophis-elegans	NC_045542.1	+	166900609	166907177	2
group2701	Thamnophis-elegans	NA	NA	NA	NA	NA
group2702	Thamnophis-elegans	NC_045550.1	-	63005523	63018062	10
group2703	Thamnophis-elegans	NC_045550.1	+	46726751	46740000	10
group2704	Thamnophis-elegans	NC_045557.1	-	4280222	4291467	17
group2705	Thamnophis-elegans	NC_045557.1	+	4340006	4347301	17
group2706	Thamnophis-elegans	NC_045541.1	-	102265814	102267114	1
group2707	Thamnophis-elegans	NC_045543.1	+	58860055	58867074	3
group2708	Thamnophis-elegans	NC_045556.1	+	7003903	7017219	16
group2709	Thamnophis-elegans	NC_045543.1	-	22700001	22708362	3
group2710	Thamnophis-elegans	NC_045546.1	-	19760003	19774866	6
group2711	Thamnophis-elegans	NA	NA	NA	NA	NA
group2712	Thamnophis-elegans	NC_045541.1	-	38241931	38253934	1
group2713	Thamnophis-elegans	NC_045542.1	+	173760995	173779718	2
group2714	Thamnophis-elegans	NA	NA	NA	NA	NA
group2715	Thamnophis-elegans	NC_045546.1	-	36663381	36680000	6
group2716	Thamnophis-elegans	NC_045544.1	+	38646722	38654301	4
group2717	Thamnophis-elegans	NC_045550.1	-	62911561	62920000	10
group2718	Thamnophis-elegans	NA	NA	NA	NA	NA
group2719	Thamnophis-elegans	NC_045558.1	+	86323792	86337061	Z
group2720	Thamnophis-elegans	NC_045542.1	-	170043438	170059967	2
group2721	Thamnophis-elegans	NC_045541.1	-	81700149	81720000	1
group2722	Thamnophis-elegans	NC_045552.1	-	58201667	58206188	12
group2723	Thamnophis-elegans	NC_045542.1	+	166485603	166495276	2
group2724	Thamnophis-elegans	NC_045545.1	+	38077773	38079016	5
group2725	Thamnophis-elegans	NC_045545.1	+	31780002	31799814	5
group2726	Thamnophis-elegans	NC_045551.1	-	71180001	71181658	11
group2727	Thamnophis-elegans	NC_045554.1	-	41411645	41419215	14
group2728	Thamnophis-elegans	NC_045554.1	+	47246826	47258005	14
group2729	Thamnophis-elegans	NA	NA	NA	NA	NA
