locus	genome	chromosome	orthoblock
group1830	Thamnophis-elegans	15	OG0010026
group1831	Thamnophis-elegans	17	OG0000451
group1832	Thamnophis-elegans	14	OG0008649
group1833	Thamnophis-elegans	12	OG0015840
group1834	Thamnophis-elegans	Z	OG0007469
group1835	Thamnophis-elegans	6	OG0012166
group1836	Thamnophis-elegans	17	NA
group1837	Thamnophis-elegans	NA	NA
group1838	Thamnophis-elegans	5	OG0009106
group1839	Thamnophis-elegans	3	OG0006661
group1840	Thamnophis-elegans	2	OG0008477
group1841	Thamnophis-elegans	3	OG0000223
group1842	Thamnophis-elegans	4	OG0011118
group1843	Thamnophis-elegans	Z	OG0012412
group1843	Thamnophis-elegans	Z	OG0015981
group1844	Thamnophis-elegans	15	OG0011595
group1845	Thamnophis-elegans	17	OG0000451
group1846	Thamnophis-elegans	2	OG0000377
group1847	Thamnophis-elegans	NA	NA
group1848	Thamnophis-elegans	10	OG0005073
group1849	Thamnophis-elegans	9	NA
group1850	Thamnophis-elegans	2	OG0008522
group1851	Thamnophis-elegans	NA	NA
group1852	Thamnophis-elegans	9	OG0001454
group1853	Thamnophis-elegans	13	OG0002772
group1854	Thamnophis-elegans	2	OG0008538
group1855	Thamnophis-elegans	1	OG0014592
group1856	Thamnophis-elegans	1	OG0000443
group1857	Thamnophis-elegans	Z	OG0001976
group1858	Thamnophis-elegans	13	OG0000689
group1859	Thamnophis-elegans	15	OG0003780
group1860	Thamnophis-elegans	5	OG0005363
group1860	Thamnophis-elegans	5	OG0015682
group1861	Thamnophis-elegans	17	OG0000214
group1862	Thamnophis-elegans	17	OG0010680
group1863	Thamnophis-elegans	11	OG0003167
group1864	Thamnophis-elegans	16	NA
group1865	Thamnophis-elegans	14	NA
group1866	Thamnophis-elegans	12	OG0001073
group1866	Thamnophis-elegans	12	OG0011945
group1867	Thamnophis-elegans	1	OG0009160
group1868	Thamnophis-elegans	2	OG0002957
group1869	Thamnophis-elegans	12	OG0006623
group1870	Thamnophis-elegans	1	OG0000198
group1871	Thamnophis-elegans	2	OG0000023
group1871	Thamnophis-elegans	2	OG0000023
group1872	Thamnophis-elegans	8	OG0004551
group1873	Thamnophis-elegans	2	OG0003820
group1874	Thamnophis-elegans	13	OG0010523
group1875	Thamnophis-elegans	NW_022473917.1	OG0015654
group1876	Thamnophis-elegans	Z	OG0000001
group1877	Thamnophis-elegans	Z	OG0000005
group1878	Thamnophis-elegans	NA	NA
group1879	Thamnophis-elegans	14	OG0003321
group1879	Thamnophis-elegans	14	OG0003322
group1880	Thamnophis-elegans	16	OG0001659
group1881	Thamnophis-elegans	Z	OG0001937
group1882	Thamnophis-elegans	3	OG0003729
group1883	Thamnophis-elegans	NA	NA
group1884	Thamnophis-elegans	14	OG0003334
group1884	Thamnophis-elegans	14	OG0003335
group1884	Thamnophis-elegans	14	OG0003336
group1885	Thamnophis-elegans	4	NA
group1886	Thamnophis-elegans	7	OG0010411
group1887	Thamnophis-elegans	16	OG0002391
group1888	Thamnophis-elegans	10	NA
group1889	Thamnophis-elegans	17	NA
group1890	Thamnophis-elegans	NA	NA
group1891	Thamnophis-elegans	9	OG0009614
group1892	Thamnophis-elegans	4	OG0011532
group1893	Thamnophis-elegans	13	OG0009308
group1894	Thamnophis-elegans	8	NA
group1895	Thamnophis-elegans	2	OG0000669
group1896	Thamnophis-elegans	6	OG0002500
group1897	Thamnophis-elegans	Z	OG0000004
group1898	Thamnophis-elegans	16	OG0012861
group1899	Thamnophis-elegans	17	NA
group1900	Thamnophis-elegans	11	OG0000401
group1901	Thamnophis-elegans	14	OG0007428
group1902	Thamnophis-elegans	NA	NA
group1903	Thamnophis-elegans	1	NA
group1904	Thamnophis-elegans	12	OG0011277
group1905	Thamnophis-elegans	15	OG0007063
group1906	Thamnophis-elegans	NA	NA
group1907	Thamnophis-elegans	8	OG0000351
group1908	Thamnophis-elegans	16	NA
group1909	Thamnophis-elegans	3	NA
group1910	Thamnophis-elegans	15	OG0007670
group1911	Thamnophis-elegans	9	NA
group1912	Thamnophis-elegans	4	OG0011146
group1913	Thamnophis-elegans	2	OG0001066
group1914	Thamnophis-elegans	16	OG0008837
group1915	Thamnophis-elegans	NA	NA
group1916	Thamnophis-elegans	11	OG0005653
group1917	Thamnophis-elegans	3	OG0001449
group1918	Thamnophis-elegans	2	NA
group1919	Thamnophis-elegans	12	NOG4422
group1919	Thamnophis-elegans	12	OG0000195
group1920	Thamnophis-elegans	Z	OG0000423
group1921	Thamnophis-elegans	9	OG0000962
group1921	Thamnophis-elegans	9	OG0007926
group1922	Thamnophis-elegans	17	OG0001822
group1923	Thamnophis-elegans	8	OG0000904
group1924	Thamnophis-elegans	NA	NA
group1925	Thamnophis-elegans	10	OG0011029
group1926	Thamnophis-elegans	4	OG0003941
group1927	Thamnophis-elegans	17	NA
group1928	Thamnophis-elegans	Z	NA
group1929	Thamnophis-elegans	Z	OG0000015
group1930	Thamnophis-elegans	7	OG0000033
group1930	Thamnophis-elegans	7	OG0000033
group1931	Thamnophis-elegans	4	OG0009426
group1932	Thamnophis-elegans	7	NA
group1933	Thamnophis-elegans	2	NA
group1934	Thamnophis-elegans	Z	OG0012134
group1934	Thamnophis-elegans	Z	OG0012135
group1935	Thamnophis-elegans	NA	NA
group1936	Thamnophis-elegans	NA	NA
group1937	Thamnophis-elegans	Z	OG0003686
group1938	Thamnophis-elegans	12	OG0006719
group1939	Thamnophis-elegans	16	OG0008246
group1940	Thamnophis-elegans	NA	NA
group1941	Thamnophis-elegans	NA	NA
group1942	Thamnophis-elegans	14	OG0003431
group1943	Thamnophis-elegans	Z	OG0013076
group1944	Thamnophis-elegans	14	OG0001880
group1945	Thamnophis-elegans	5	NA
group1946	Thamnophis-elegans	16	OG0004376
group1947	Thamnophis-elegans	NA	NA
group1948	Thamnophis-elegans	17	OG0003973
group1949	Thamnophis-elegans	Z	OG0000005
group1950	Thamnophis-elegans	17	NA
group1951	Thamnophis-elegans	5	OG0006252
group1952	Thamnophis-elegans	12	NA
group1953	Thamnophis-elegans	15	OG0011622
group1954	Thamnophis-elegans	NA	NA
group1955	Thamnophis-elegans	8	OG0000276
group1956	Thamnophis-elegans	2	OG0000150
group1957	Thamnophis-elegans	15	NA
group1958	Thamnophis-elegans	5	NA
group1959	Thamnophis-elegans	NA	NA
group1960	Thamnophis-elegans	13	OG0004892
group1961	Thamnophis-elegans	Z	NA
group1962	Thamnophis-elegans	16	OG0005704
group1963	Thamnophis-elegans	Z	NA
group1964	Thamnophis-elegans	2	OG0009030
group1965	Thamnophis-elegans	4	OG0011119
group1966	Thamnophis-elegans	12	OG0006710
group1966	Thamnophis-elegans	12	OG0006711
group1967	Thamnophis-elegans	8	NA
group1968	Thamnophis-elegans	4	OG0006420
group1969	Thamnophis-elegans	3	NA
group1970	Thamnophis-elegans	Z	OG0000002
group1970	Thamnophis-elegans	Z	OG0000002
group1971	Thamnophis-elegans	NW_022473913.1	OG0005570
group1972	Thamnophis-elegans	2	NA
group1973	Thamnophis-elegans	2	NA
group1974	Thamnophis-elegans	NA	NA
group1975	Thamnophis-elegans	17	NA
group1976	Thamnophis-elegans	NW_022473899.1	OG0001075
group1977	Thamnophis-elegans	6	OG0006819
group1978	Thamnophis-elegans	2	OG0008517
group1979	Thamnophis-elegans	1	OG0005141
group1980	Thamnophis-elegans	2	NA
group1981	Thamnophis-elegans	12	OG0006740
group1982	Thamnophis-elegans	13	NA
group1983	Thamnophis-elegans	13	OG0007537
group1984	Thamnophis-elegans	7	OG0005132
group1984	Thamnophis-elegans	7	OG0005133
group1985	Thamnophis-elegans	5	OG0003794
group1985	Thamnophis-elegans	5	OG0003795
group1986	Thamnophis-elegans	13	OG0007628
group1986	Thamnophis-elegans	13	OG0007629
group1986	Thamnophis-elegans	13	OG0015523
group1987	Thamnophis-elegans	17	NA
group1988	Thamnophis-elegans	13	OG0010349
group1988	Thamnophis-elegans	13	OG0010350
group1989	Thamnophis-elegans	2	NA
group1990	Thamnophis-elegans	NA	NA
group1991	Thamnophis-elegans	Z	OG0012327
group1991	Thamnophis-elegans	Z	OG0012327
group1992	Thamnophis-elegans	1	OG0011866
group1993	Thamnophis-elegans	NA	NA
group1994	Thamnophis-elegans	NA	NA
group1995	Thamnophis-elegans	13	NA
group1996	Thamnophis-elegans	NW_022473861.1	OG0000002
group1997	Thamnophis-elegans	NA	NA
group1998	Thamnophis-elegans	17	OG0000214
group1999	Thamnophis-elegans	14	OG0002051
group1999	Thamnophis-elegans	14	OG0012092
group2000	Thamnophis-elegans	Z	OG0012129
group2001	Thamnophis-elegans	2	OG0000488
group2001	Thamnophis-elegans	2	OG0000488
group2002	Thamnophis-elegans	17	NA
group2003	Thamnophis-elegans	3	OG0015630
group2004	Thamnophis-elegans	1	NA
group2005	Thamnophis-elegans	17	OG0002593
group2006	Thamnophis-elegans	10	OG0000281
group2007	Thamnophis-elegans	NA	NA
group2008	Thamnophis-elegans	2	NA
group2009	Thamnophis-elegans	Z	OG0000002
group2010	Thamnophis-elegans	2	OG0001099
group2010	Thamnophis-elegans	2	OG0001099
group2010	Thamnophis-elegans	2	OG0015992
group2011	Thamnophis-elegans	NA	NA
group2012	Thamnophis-elegans	12	OG0011314
group2012	Thamnophis-elegans	12	OG0011315
group2013	Thamnophis-elegans	7	NA
group2014	Thamnophis-elegans	5	OG0000230
group2015	Thamnophis-elegans	2	OG0000216
group2016	Thamnophis-elegans	7	NA
group2017	Thamnophis-elegans	Z	NA
group2018	Thamnophis-elegans	1	NA
group2019	Thamnophis-elegans	11	NA
group2020	Thamnophis-elegans	Z	NA
group2021	Thamnophis-elegans	Z	NA
group2022	Thamnophis-elegans	NA	NA
group2023	Thamnophis-elegans	4	NA
group2024	Thamnophis-elegans	Z	OG0001979
group2025	Thamnophis-elegans	NA	NA
group2026	Thamnophis-elegans	12	NA
group2027	Thamnophis-elegans	5	OG0009214
group2028	Thamnophis-elegans	NA	NA
group2029	Thamnophis-elegans	1	OG0008365
group2030	Thamnophis-elegans	8	OG0004570
group2031	Thamnophis-elegans	9	NA
group2032	Thamnophis-elegans	15	NA
group2033	Thamnophis-elegans	17	OG0006679
group2033	Thamnophis-elegans	17	OG0006680
group2034	Thamnophis-elegans	14	OG0004483
group2035	Thamnophis-elegans	NA	NA
group2036	Thamnophis-elegans	5	OG0003043
group2036	Thamnophis-elegans	5	OG0003044
group2037	Thamnophis-elegans	16	OG0008413
group2037	Thamnophis-elegans	16	OG0008414
group2038	Thamnophis-elegans	17	OG0007644
group2039	Thamnophis-elegans	8	OG0009019
group2039	Thamnophis-elegans	8	OG0009020
group2040	Thamnophis-elegans	17	OG0001823
group2041	Thamnophis-elegans	4	OG0009780
group2042	Thamnophis-elegans	1	NA
group2043	Thamnophis-elegans	12	OG0007307
group2044	Thamnophis-elegans	2	OG0000980
group2045	Thamnophis-elegans	NA	NA
group2046	Thamnophis-elegans	2	OG0000006
group2047	Thamnophis-elegans	13	OG0013260
group2048	Thamnophis-elegans	5	NOG4579
group2049	Thamnophis-elegans	5	NA
group2050	Thamnophis-elegans	15	OG0007678
group2051	Thamnophis-elegans	NA	NA
group2052	Thamnophis-elegans	NA	NA
group2053	Thamnophis-elegans	2	OG0000035
group2054	Thamnophis-elegans	17	OG0000105
group2054	Thamnophis-elegans	17	OG0014750
group2055	Thamnophis-elegans	3	NA
group2056	Thamnophis-elegans	15	OG0002480
group2057	Thamnophis-elegans	5	OG0000138
group2058	Thamnophis-elegans	7	OG0000033
group2058	Thamnophis-elegans	7	OG0000033
group2058	Thamnophis-elegans	7	OG0000033
group2059	Thamnophis-elegans	NA	NA
group2060	Thamnophis-elegans	NA	NA
group2061	Thamnophis-elegans	13	OG0005304
group2062	Thamnophis-elegans	5	NA
group2063	Thamnophis-elegans	12	OG0009866
group2064	Thamnophis-elegans	NA	NA
group2065	Thamnophis-elegans	Z	NA
group2066	Thamnophis-elegans	2	OG0004414
group2067	Thamnophis-elegans	Z	OG0011852
group2068	Thamnophis-elegans	NA	NA
group2069	Thamnophis-elegans	NA	NA
group2070	Thamnophis-elegans	9	NA
group2071	Thamnophis-elegans	NA	NA
group2072	Thamnophis-elegans	Z	NA
group2073	Thamnophis-elegans	5	NA
group2074	Thamnophis-elegans	NA	NA
group2075	Thamnophis-elegans	Z	OG0000001
group2075	Thamnophis-elegans	Z	OG0000001
group2076	Thamnophis-elegans	11	OG0008770
group2076	Thamnophis-elegans	11	OG0014143
group2077	Thamnophis-elegans	10	OG0011483
group2078	Thamnophis-elegans	Z	OG0003712
group2079	Thamnophis-elegans	2	NOG4506
group2080	Thamnophis-elegans	4	NA
group2081	Thamnophis-elegans	2	OG0000281
group2082	Thamnophis-elegans	10	NA
group2083	Thamnophis-elegans	NA	NA
group2084	Thamnophis-elegans	15	OG0014335
group2085	Thamnophis-elegans	12	OG0001697
group2085	Thamnophis-elegans	12	OG0001697
group2086	Thamnophis-elegans	13	OG0002257
group2087	Thamnophis-elegans	NW_022473632.1	OG0008626
group2087	Thamnophis-elegans	NW_022473632.1	OG0008627
group2088	Thamnophis-elegans	NA	NA
group2089	Thamnophis-elegans	NW_022473609.1	OG0011785
group2090	Thamnophis-elegans	2	OG0011190
group2091	Thamnophis-elegans	Z	NA
group2092	Thamnophis-elegans	3	NA
group2093	Thamnophis-elegans	2	NA
group2094	Thamnophis-elegans	Z	OG0011851
group2095	Thamnophis-elegans	Z	NA
group2096	Thamnophis-elegans	11	NA
group2097	Thamnophis-elegans	12	OG0000145
group2098	Thamnophis-elegans	2	OG0000133
group2099	Thamnophis-elegans	1	OG0005153
group2100	Thamnophis-elegans	5	NA
group2101	Thamnophis-elegans	NA	NA
group2102	Thamnophis-elegans	NA	NA
group2103	Thamnophis-elegans	NA	NA
group2104	Thamnophis-elegans	16	OG0008190
group2105	Thamnophis-elegans	4	OG0009435
group2106	Thamnophis-elegans	12	OG0007503
group2107	Thamnophis-elegans	17	NA
group2108	Thamnophis-elegans	1	NA
group2109	Thamnophis-elegans	15	NA
group2110	Thamnophis-elegans	8	OG0001400
group2111	Thamnophis-elegans	NA	NA
group2112	Thamnophis-elegans	2	NA
group2113	Thamnophis-elegans	2	OG0000048
group2114	Thamnophis-elegans	5	OG0012046
group2115	Thamnophis-elegans	12	OG0011690
group2115	Thamnophis-elegans	12	OG0011691
group2116	Thamnophis-elegans	2	OG0008560
group2116	Thamnophis-elegans	2	OG0008561
group2117	Thamnophis-elegans	NA	NA
group2118	Thamnophis-elegans	9	OG0000710
group2118	Thamnophis-elegans	9	OG0007754
group2118	Thamnophis-elegans	9	OG0007755
group2119	Thamnophis-elegans	17	OG0010647
group2120	Thamnophis-elegans	16	OG0008857
group2121	Thamnophis-elegans	Z	NA
group2122	Thamnophis-elegans	Z	OG0000163
group2122	Thamnophis-elegans	Z	OG0000163
group2123	Thamnophis-elegans	17	OG0003973
group2124	Thamnophis-elegans	7	NA
group2125	Thamnophis-elegans	6	OG0001077
group2126	Thamnophis-elegans	17	NA
group2127	Thamnophis-elegans	10	OG0001613
group2128	Thamnophis-elegans	17	NA
group2129	Thamnophis-elegans	NA	NA
group2130	Thamnophis-elegans	16	OG0002552
group2131	Thamnophis-elegans	Z	NA
group2132	Thamnophis-elegans	NA	NA
group2133	Thamnophis-elegans	9	OG0001918
group2134	Thamnophis-elegans	1	OG0009170
group2135	Thamnophis-elegans	9	NA
group2136	Thamnophis-elegans	NW_022473805.1	OG0015825
group2137	Thamnophis-elegans	13	OG0010542
group2138	Thamnophis-elegans	16	NOG4452
group2138	Thamnophis-elegans	16	OG0000492
group2138	Thamnophis-elegans	16	OG0009538
group2139	Thamnophis-elegans	9	NA
group2140	Thamnophis-elegans	6	OG0000957
group2140	Thamnophis-elegans	6	OG0015275
group2141	Thamnophis-elegans	1	NA
group2142	Thamnophis-elegans	10	OG0001260
group2143	Thamnophis-elegans	NA	NA
group2144	Thamnophis-elegans	NA	NA
group2145	Thamnophis-elegans	2	NA
group2146	Thamnophis-elegans	NW_022473707.1	OG0002065
group2147	Thamnophis-elegans	13	NA
group2148	Thamnophis-elegans	2	OG0002525
group2149	Thamnophis-elegans	12	OG0000345
group2149	Thamnophis-elegans	12	OG0015047
group2150	Thamnophis-elegans	1	NA
group2151	Thamnophis-elegans	1	OG0013133
group2152	Thamnophis-elegans	17	OG0000651
group2153	Thamnophis-elegans	NA	NA
group2154	Thamnophis-elegans	9	OG0000350
group2155	Thamnophis-elegans	Z	OG0000004
group2156	Thamnophis-elegans	NA	NA
group2157	Thamnophis-elegans	NA	NA
group2158	Thamnophis-elegans	2	OG0004129
group2159	Thamnophis-elegans	NA	NA
group2160	Thamnophis-elegans	NA	NA
group2161	Thamnophis-elegans	NA	NA
group2162	Thamnophis-elegans	2	OG0003435
group2162	Thamnophis-elegans	2	OG0015545
group2163	Thamnophis-elegans	NA	NA
group2164	Thamnophis-elegans	4	OG0008701
group2165	Thamnophis-elegans	7	NA
group2166	Thamnophis-elegans	1	NA
group2167	Thamnophis-elegans	8	OG0003023
group2168	Thamnophis-elegans	12	OG0011604
group2169	Thamnophis-elegans	8	OG0015729
group2170	Thamnophis-elegans	7	NA
group2171	Thamnophis-elegans	8	OG0009004
group2172	Thamnophis-elegans	3	NA
group2173	Thamnophis-elegans	NA	NA
group2174	Thamnophis-elegans	1	OG0009972
group2175	Thamnophis-elegans	14	OG0003351
group2176	Thamnophis-elegans	4	OG0011134
group2177	Thamnophis-elegans	8	OG0001638
group2178	Thamnophis-elegans	16	OG0008180
group2179	Thamnophis-elegans	NA	NA
group2180	Thamnophis-elegans	Z	OG0009519
group2180	Thamnophis-elegans	Z	OG0009520
group2181	Thamnophis-elegans	Z	NA
group2182	Thamnophis-elegans	2	NA
group2183	Thamnophis-elegans	NA	NA
group2184	Thamnophis-elegans	13	OG0010568
group2184	Thamnophis-elegans	13	OG0010569
group2185	Thamnophis-elegans	NA	NA
group2186	Thamnophis-elegans	17	NA
group2187	Thamnophis-elegans	NW_022473764.1	OG0007933
group2188	Thamnophis-elegans	13	OG0007054
group2189	Thamnophis-elegans	16	OG0008034
group2190	Thamnophis-elegans	1	OG0000399
group2191	Thamnophis-elegans	NA	NA
group2192	Thamnophis-elegans	NA	NA
group2193	Thamnophis-elegans	3	OG0008030
group2194	Thamnophis-elegans	15	OG0002520
group2195	Thamnophis-elegans	13	NA
group2196	Thamnophis-elegans	NA	NA
group2197	Thamnophis-elegans	NA	NA
group2198	Thamnophis-elegans	10	NOG4413
group2199	Thamnophis-elegans	9	NA
group2200	Thamnophis-elegans	2	OG0000314
group2201	Thamnophis-elegans	12	OG0000074
group2202	Thamnophis-elegans	NA	NA
group2203	Thamnophis-elegans	NA	NA
group2204	Thamnophis-elegans	1	NA
group2205	Thamnophis-elegans	17	NA
group2206	Thamnophis-elegans	1	OG0005543
group2206	Thamnophis-elegans	1	OG0015487
group2207	Thamnophis-elegans	15	NA
group2208	Thamnophis-elegans	2	OG0008527
group2208	Thamnophis-elegans	2	OG0008528
group2209	Thamnophis-elegans	NA	NA
group2210	Thamnophis-elegans	1	OG0010239
group2211	Thamnophis-elegans	NA	NA
group2212	Thamnophis-elegans	NA	NA
group2213	Thamnophis-elegans	8	NA
group2214	Thamnophis-elegans	NA	NA
group2215	Thamnophis-elegans	3	NA
group2216	Thamnophis-elegans	NA	NA
group2217	Thamnophis-elegans	7	OG0006152
group2218	Thamnophis-elegans	Z	OG0003683
group2219	Thamnophis-elegans	4	OG0002241
group2219	Thamnophis-elegans	4	OG0007308
group2219	Thamnophis-elegans	4	OG0007309
group2220	Thamnophis-elegans	16	OG0008599
group2220	Thamnophis-elegans	16	OG0008600
group2221	Thamnophis-elegans	17	OG0000739
group2221	Thamnophis-elegans	17	OG0000739
group2222	Thamnophis-elegans	NA	NA
group2223	Thamnophis-elegans	7	NA
group2224	Thamnophis-elegans	NA	NA
group2225	Thamnophis-elegans	16	NOG4325
group2225	Thamnophis-elegans	16	OG0008852
group2226	Thamnophis-elegans	9	OG0009642
group2227	Thamnophis-elegans	15	OG0010044
group2228	Thamnophis-elegans	Z	OG0015361
group2229	Thamnophis-elegans	2	NA
group2230	Thamnophis-elegans	Z	NA
group2231	Thamnophis-elegans	12	OG0003066
group2231	Thamnophis-elegans	12	OG0003067
group2232	Thamnophis-elegans	11	OG0000401
group2232	Thamnophis-elegans	11	OG0000401
group2233	Thamnophis-elegans	10	OG0004995
group2233	Thamnophis-elegans	10	OG0015789
group2234	Thamnophis-elegans	6	OG0000211
group2235	Thamnophis-elegans	NA	NA
group2236	Thamnophis-elegans	16	OG0008846
group2236	Thamnophis-elegans	16	OG0008847
group2237	Thamnophis-elegans	NA	NA
group2238	Thamnophis-elegans	5	OG0000206
group2238	Thamnophis-elegans	5	OG0000206
group2239	Thamnophis-elegans	3	NA
group2240	Thamnophis-elegans	1	OG0001548
group2241	Thamnophis-elegans	Z	OG0003688
group2241	Thamnophis-elegans	Z	OG0003689
group2242	Thamnophis-elegans	14	NA
group2243	Thamnophis-elegans	10	NA
group2244	Thamnophis-elegans	9	OG0008123
group2245	Thamnophis-elegans	1	OG0008951
group2246	Thamnophis-elegans	12	OG0011946
group2247	Thamnophis-elegans	6	OG0000260
group2248	Thamnophis-elegans	15	OG0007692
group2248	Thamnophis-elegans	15	OG0007693
group2249	Thamnophis-elegans	2	OG0008279
group2250	Thamnophis-elegans	2	OG0000004
group2251	Thamnophis-elegans	NA	NA
group2252	Thamnophis-elegans	17	NA
group2253	Thamnophis-elegans	14	OG0009405
group2254	Thamnophis-elegans	9	OG0001922
group2254	Thamnophis-elegans	9	OG0004807
group2255	Thamnophis-elegans	4	OG0011111
group2256	Thamnophis-elegans	3	OG0008021
group2257	Thamnophis-elegans	17	NA
group2258	Thamnophis-elegans	11	NA
group2259	Thamnophis-elegans	7	NA
group2260	Thamnophis-elegans	NA	NA
group2261	Thamnophis-elegans	Z	OG0009506
group2262	Thamnophis-elegans	Z	NA
group2263	Thamnophis-elegans	NW_022473781.1	OG0010653
group2263	Thamnophis-elegans	NW_022473781.1	OG0010654
group2264	Thamnophis-elegans	NA	NA
group2265	Thamnophis-elegans	14	OG0015810
group2266	Thamnophis-elegans	6	OG0002392
group2267	Thamnophis-elegans	NA	NA
group2268	Thamnophis-elegans	NA	NA
group2269	Thamnophis-elegans	5	OG0011932
group2270	Thamnophis-elegans	NA	NA
group2271	Thamnophis-elegans	NA	NA
group2272	Thamnophis-elegans	14	OG0006806
group2273	Thamnophis-elegans	NA	NA
group2274	Thamnophis-elegans	Z	OG0004667
group2275	Thamnophis-elegans	Z	OG0009521
group2275	Thamnophis-elegans	Z	OG0009522
group2275	Thamnophis-elegans	Z	OG0009523
group2276	Thamnophis-elegans	NA	NA
group2277	Thamnophis-elegans	Z	OG0000543
group2278	Thamnophis-elegans	1	OG0008338
group2279	Thamnophis-elegans	NA	NA
group2280	Thamnophis-elegans	Z	OG0000022
group2281	Thamnophis-elegans	13	OG0003961
group2281	Thamnophis-elegans	13	OG0003962
group2281	Thamnophis-elegans	13	OG0003963
group2282	Thamnophis-elegans	NA	NA
group2283	Thamnophis-elegans	9	NA
group2284	Thamnophis-elegans	1	OG0010363
group2284	Thamnophis-elegans	1	OG0010365
group2285	Thamnophis-elegans	7	OG0012052
group2286	Thamnophis-elegans	NA	NA
group2287	Thamnophis-elegans	5	OG0011938
group2288	Thamnophis-elegans	6	OG0015275
group2289	Thamnophis-elegans	9	OG0008141
group2290	Thamnophis-elegans	Z	OG0001330
group2290	Thamnophis-elegans	Z	OG0005782
group2290	Thamnophis-elegans	Z	OG0005783
group2291	Thamnophis-elegans	14	OG0007425
group2291	Thamnophis-elegans	14	OG0013736
group2292	Thamnophis-elegans	NA	NA
group2293	Thamnophis-elegans	6	OG0007621
group2294	Thamnophis-elegans	NA	NA
group2295	Thamnophis-elegans	5	OG0006280
group2296	Thamnophis-elegans	NA	NA
group2297	Thamnophis-elegans	15	OG0002480
group2298	Thamnophis-elegans	NA	NA
group2299	Thamnophis-elegans	Z	OG0005991
group2300	Thamnophis-elegans	NA	NA
group2301	Thamnophis-elegans	5	OG0002626
group2302	Thamnophis-elegans	9	OG0005902
group2303	Thamnophis-elegans	16	OG0000234
group2303	Thamnophis-elegans	16	OG0009573
group2304	Thamnophis-elegans	17	NA
group2305	Thamnophis-elegans	12	NA
group2306	Thamnophis-elegans	4	OG0004580
group2307	Thamnophis-elegans	15	NA
group2308	Thamnophis-elegans	17	NA
group2309	Thamnophis-elegans	3	OG0002943
group2310	Thamnophis-elegans	NA	NA
group2311	Thamnophis-elegans	13	NA
group2312	Thamnophis-elegans	2	OG0010047
group2313	Thamnophis-elegans	NA	NA
group2314	Thamnophis-elegans	2	NA
group2315	Thamnophis-elegans	8	OG0001224
group2316	Thamnophis-elegans	11	OG0001184
group2317	Thamnophis-elegans	NA	NA
group2318	Thamnophis-elegans	16	OG0007103
group2319	Thamnophis-elegans	NA	NA
group2320	Thamnophis-elegans	15	OG0001035
group2321	Thamnophis-elegans	7	OG0004505
group2321	Thamnophis-elegans	7	OG0004506
group2322	Thamnophis-elegans	12	OG0011609
group2323	Thamnophis-elegans	16	OG0009533
group2323	Thamnophis-elegans	16	OG0009534
group2324	Thamnophis-elegans	16	OG0008163
group2325	Thamnophis-elegans	7	OG0006169
group2325	Thamnophis-elegans	7	OG0015877
group2326	Thamnophis-elegans	NA	NA
group2327	Thamnophis-elegans	17	OG0002518
group2327	Thamnophis-elegans	17	OG0002518
group2328	Thamnophis-elegans	NW_022473899.1	OG0004437
group2328	Thamnophis-elegans	NW_022473899.1	OG0012878
group2329	Thamnophis-elegans	10	NA
group2330	Thamnophis-elegans	7	OG0000842
group2331	Thamnophis-elegans	14	NA
group2332	Thamnophis-elegans	5	OG0005357
group2333	Thamnophis-elegans	Z	OG0000005
group2334	Thamnophis-elegans	Z	OG0000022
group2335	Thamnophis-elegans	2	OG0001801
group2336	Thamnophis-elegans	NA	NA
group2337	Thamnophis-elegans	9	OG0009633
group2338	Thamnophis-elegans	NA	NA
group2339	Thamnophis-elegans	6	OG0011855
group2340	Thamnophis-elegans	2	NA
group2341	Thamnophis-elegans	NA	NA
group2342	Thamnophis-elegans	NA	NA
group2343	Thamnophis-elegans	7	NA
group2344	Thamnophis-elegans	12	OG0001910
group2345	Thamnophis-elegans	Z	OG0000592
group2345	Thamnophis-elegans	Z	OG0006224
group2346	Thamnophis-elegans	4	NA
group2347	Thamnophis-elegans	NA	NA
group2348	Thamnophis-elegans	6	OG0012177
group2349	Thamnophis-elegans	Z	OG0000049
group2350	Thamnophis-elegans	9	OG0008128
group2351	Thamnophis-elegans	2	OG0000054
group2352	Thamnophis-elegans	13	OG0005728
group2353	Thamnophis-elegans	NA	NA
group2354	Thamnophis-elegans	6	OG0015298
group2355	Thamnophis-elegans	13	OG0002061
group2356	Thamnophis-elegans	NA	NA
group2357	Thamnophis-elegans	2	OG0000023
group2357	Thamnophis-elegans	2	OG0000171
group2358	Thamnophis-elegans	NA	NA
group2359	Thamnophis-elegans	Z	OG0000004
group2360	Thamnophis-elegans	11	OG0008044
group2361	Thamnophis-elegans	9	OG0008120
group2362	Thamnophis-elegans	17	NA
group2363	Thamnophis-elegans	16	OG0009697
group2364	Thamnophis-elegans	3	OG0000051
group2365	Thamnophis-elegans	13	NA
group2366	Thamnophis-elegans	2	OG0000085
group2367	Thamnophis-elegans	8	NA
group2368	Thamnophis-elegans	17	NA
group2369	Thamnophis-elegans	6	NA
group2370	Thamnophis-elegans	NA	NA
group2371	Thamnophis-elegans	11	OG0003169
group2372	Thamnophis-elegans	3	OG0001836
group2373	Thamnophis-elegans	17	NA
group2374	Thamnophis-elegans	17	OG0000299
group2375	Thamnophis-elegans	NA	NA
group2376	Thamnophis-elegans	5	OG0011718
