locus	species	contig	sense	start	end	chr	chr.id2	locus.id2
group674	Naja-naja	CM019151.1	+	14980941	14999997	4	4	C4L15
group1260	Naja-naja	CM019151.1	-	20900004	20905374	4	4	C4L16
group396	Naja-naja	CM019151.1	-	26220001	26232238	4	4	C4L17
group1911	Naja-naja	CM019151.1	+	27045438	27059133	4	4	C4L18
group2799	Naja-naja	CM019151.1	+	28247174	28251821	4	4	C4L19
group1556	Naja-naja	CM019151.1	+	28263114	28280000	4	4	C4L20
group1448	Naja-naja	CM019151.1	-	28848539	28859983	4	4	C4L21
group1390	Naja-naja	CM019151.1	-	28900001	28904512	4	4	C4L22
group784	Naja-naja	CM019151.1	-	31869624	31879007	4	4	C4L23
group2135	Naja-naja	CM019151.1	-	33047051	33057046	4	4	C4L24
group994	Naja-naja	CM019151.1	+	33220001	33221732	4	4	C4L25
group785	Naja-naja	CM019151.1	+	33231642	33235172	4	4	C4L26
group1454	Naja-naja	CM019151.1	+	33280001	33288017	4	4	C4L27
group992	Naja-naja	CM019151.1	+	33301444	33303109	4	4	C4L28
group761	Naja-naja	CM019151.1	+	33329563	33339999	4	4	C4L29
group1381	Naja-naja	CM019151.1	+	33342708	33343863	4	4	C4L30
group1155	Naja-naja	CM019151.1	+	33555269	33559713	4	4	C4L31
group2070	Naja-naja	CM019151.1	+	34840001	34846757	4	4	C4L32
group885	Naja-naja	CM019151.1	-	35880001	35881699	4	4	C4L33
group2412	Naja-naja	CM019151.1	+	36858153	36860000	4	4	C4L34
group1160	Naja-naja	CM019151.1	+	40602536	40614887	4	4	C4L35
group1668	Naja-naja	CM019151.1	-	42058254	42060000	4	4	C4L36
group2031	Naja-naja	CM019151.1	+	42143100	42160000	4	4	C4L37
group1347	Naja-naja	CM019151.1	+	42580002	42584425	4	4	C4L38
group1052	Naja-naja	CM019151.1	+	44160001	44167043	4	4	C4L39
group1788	Naja-naja	CM019151.1	+	45161080	45178452	4	4	C4L40
group34	Naja-naja	CM019151.1	+	49140055	49145187	4	4	C4L41
group134	Naja-naja	CM019151.1	-	49202565	49216000	4	4	C4L42
group951	Naja-naja	CM019151.1	+	49560002	49563125	4	4	C4L43
group1193	Naja-naja	CM019151.1	+	51124675	51126581	4	4	C4L44
group1050	Naja-naja	CM019151.1	+	52692426	52699083	4	4	C4L45
group2199	Naja-naja	CM019151.1	-	54340002	54344667	4	4	C4L46
group2139	Naja-naja	CM019151.1	+	57720052	57732817	4	4	C4L47
group3017	Naja-naja	CM019151.1	-	58352604	58359999	4	4	C4L48
group253	Naja-naja	CM019151.1	+	58807330	58820000	4	4	C4L49
group185	Naja-naja	CM019151.1	+	59400001	59403764	4	4	C4L50
group2500	Naja-naja	CM019151.1	+	59685797	59700000	4	4	C4L51
group5	Naja-naja	CM019151.1	-	59880001	59889777	4	4	C4L52
group2382	Naja-naja	CM019151.1	-	59949106	59959984	4	4	C4L53
group2527	Naja-naja	CM019151.1	+	60103397	60114077	4	4	C4L54
group2960	Naja-naja	CM019151.1	+	60356455	60360000	4	4	C4L55
group318	Naja-naja	CM019151.1	+	61489526	61498669	4	4	C4L56
group602	Naja-naja	CM019151.1	+	61732191	61734984	4	4	C4L57
group2226	Naja-naja	CM019151.1	-	61741950	61760000	4	4	C4L58
group37	Naja-naja	CM019151.1	+	61984310	61998483	4	4	C4L59
group177	Naja-naja	CM019151.1	+	62216529	62220000	4	4	C4L60
group204	Naja-naja	CM019151.1	-	62961468	62970008	4	4	C4L61
group2422	Naja-naja	CM019151.1	-	68320001	68340000	4	4	C4L62
group2337	Naja-naja	CM019151.1	+	70200001	70212722	4	4	C4L63
group1891	Naja-naja	CM019151.1	-	70846018	70859023	4	4	C4L64
group2845	Naja-naja	CM019151.1	+	72348943	72359601	4	4	C4L65
group205	Naja-naja	CM019151.1	+	74076494	74079999	4	4	C4L66
group2302	Naja-naja	CM019151.1	+	74104098	74111663	4	4	C4L67
group2133	Naja-naja	CM019151.1	-	75802165	75807778	4	4	C4L68
group2634	Naja-naja	CM019151.1	-	76080307	76082066	4	4	C4L69
group2549	Naja-naja	CM019151.1	+	76209652	76218597	4	4	C4L70
group2118	Naja-naja	CM019151.1	+	78733080	78740000	4	4	C4L71
group1761	Naja-naja	CM019151.1	-	78843387	78850862	4	4	C4L72
group2542	Naja-naja	CM019151.1	+	78880001	78890774	4	4	C4L73
group710	Naja-naja	CM019151.1	-	80320001	80325608	4	4	C4L74
group2254	Naja-naja	CM019151.1	-	82014961	82020000	4	4	C4L75
group221	Naja-naja	CM019151.1	-	84373999	84379999	4	4	C4L76
group2998	Naja-naja	CM019151.1	-	84589803	84599998	4	4	C4L77
group1830	Naja-naja	CM019151.1	-	84747995	84758424	4	4	C4L78
group2194	Naja-naja	CM019151.1	+	85266720	85280000	4	4	C4L79
group244	Naja-naja	CM019151.1	-	87760001	87776266	4	4	C4L80
group1764	Naja-naja	CM019151.1	-	87924588	87933101	4	4	C4L81
group2712	Naja-naja	CM019151.1	-	88102782	88117246	4	4	C4L82
group2567	Naja-naja	CM019151.1	-	88276576	88280000	4	4	C4L83
group446	Naja-naja	CM019151.1	-	88786797	88799394	4	4	C4L84
group2428	Naja-naja	CM019151.1	+	88924391	88940000	4	4	C4L85
group936	Naja-naja	CM019151.1	-	89487068	89493506	4	4	C4L86
group886	Naja-naja	CM019151.1	+	89593428	89598220	4	4	C4L87
group2084	Naja-naja	CM019151.1	+	89621578	89632257	4	4	C4L88
group1088	Naja-naja	CM019151.1	-	89685264	89700000	4	4	C4L89
group1323	Naja-naja	CM019151.1	-	89704178	89718490	4	4	C4L90
group642	Naja-naja	CM019151.1	-	89724062	89738842	4	4	C4L91
group1199	Naja-naja	CM019151.1	-	89830148	89839999	4	4	C4L92
group1001	Naja-naja	CM019151.1	-	89840001	89848188	4	4	C4L93
group792	Naja-naja	CM019151.1	+	90063640	90077297	4	4	C4L94
group1360	Naja-naja	CM019151.1	+	90204426	90211073	4	4	C4L95
group815	Naja-naja	CM019151.1	+	90264430	90271680	4	4	C4L96
group1068	Naja-naja	CM019151.1	-	90281617	90297341	4	4	C4L97
group308	Naja-naja	CM019151.1	-	93713584	93719669	4	4	C4L98
group2297	Naja-naja	CM019151.1	-	93764259	93776341	4	4	C4L99
group2056	Naja-naja	CM019151.1	-	93784674	93796788	4	4	C4L100
group2320	Naja-naja	CM019151.1	-	93844243	93854921	4	4	C4L101
group2227	Naja-naja	CM019151.1	+	95520001	95529527	4	4	C4L102
group1547	Naja-naja	CM019151.1	+	95612516	95615347	4	4	C4L103
group216	Naja-naja	CM019151.1	+	95800077	95810329	4	4	C4L104
group421	Naja-naja	CM019151.1	+	95820041	95833882	4	4	C4L105
group1844	Naja-naja	CM019151.1	-	96100001	96106402	4	4	C4L106
group787	Naja-naja	CM019151.1	+	96436834	96439490	4	4	C4L107
group840	Naja-naja	CM019151.1	+	96900001	96912976	4	4	C4L108
group1451	Naja-naja	CM019151.1	-	97051992	97060000	4	4	C4L109
group3073	Naja-naja	CM019151.1	+	103180747	103200000	4	4	C4L110
group2910	Naja-naja	CM019151.1	-	103832782	103840000	4	4	C4L111
group1177	Naja-naja	CM019151.1	+	107785205	107789949	4	4	C4L112
group262	Naja-naja	CM019151.1	+	110145564	110158705	4	4	C4L113
group1953	Naja-naja	CM019151.1	-	110342560	110349277	4	4	C4L114
group2810	Naja-naja	CM019151.1	+	110426493	110437649	4	4	C4L115
group1859	Naja-naja	CM019151.1	-	110961974	110978875	4	4	C4L116
group1533	Naja-naja	CM019151.1	-	112501016	112504767	4	4	C4L117
group1184	Naja-naja	CM019151.1	+	112864903	112872525	4	4	C4L118
group2032	Naja-naja	CM019151.1	+	114660001	114668962	4	4	C4L119
group1469	Naja-naja	CM019151.1	-	115470771	115480000	4	4	C4L120
group1022	Naja-naja	CM019151.1	-	115588758	115592380	4	4	C4L121
group895	Naja-naja	CM019151.1	+	115627803	115638946	4	4	C4L122
group2006	Naja-naja	CM019151.1	+	118313392	118319509	4	4	C4L123
group1370	Naja-naja	CM019151.1	+	118324760	118334874	4	4	C4L124
group716	Naja-naja	CM019151.1	-	118380001	118382533	4	4	C4L125
group657	Naja-naja	CM019151.1	-	118387850	118397459	4	4	C4L126
group821	Naja-naja	CM019151.1	-	118405660	118418259	4	4	C4L127
group814	Naja-naja	CM019151.1	-	118420943	118423391	4	4	C4L128
group1427	Naja-naja	CM019151.1	-	118434725	118439996	4	4	C4L129
group645	Naja-naja	CM019151.1	+	118490340	118500000	4	4	C4L130
group831	Naja-naja	CM019151.1	+	118497655	118499360	4	4	C4L131
group640	Naja-naja	CM019151.1	+	118547856	118558296	4	4	C4L132
group1276	Naja-naja	CM019151.1	-	118668563	118680000	4	4	C4L133
group1049	Naja-naja	CM019151.1	-	118700906	118719298	4	4	C4L134
group803	Naja-naja	CM019151.1	-	118713825	118720000	4	4	C4L135
group1207	Naja-naja	CM019151.1	-	118783717	118798202	4	4	C4L136
group883	Naja-naja	CM019151.1	+	119020238	119024298	4	4	C4L137
group880	Naja-naja	CM019151.1	+	119076103	119078400	4	4	C4L138
group2329	Naja-naja	CM019151.1	-	119220730	119231266	4	4	C4L139
group1142	Naja-naja	CM019151.1	+	119367289	119373110	4	4	C4L140
group961	Naja-naja	CM019151.1	-	119525069	119532087	4	4	C4L141
group857	Naja-naja	CM019151.1	+	119540983	119543251	4	4	C4L142
group943	Naja-naja	CM019151.1	+	119637730	119640000	4	4	C4L143
group718	Naja-naja	CM019151.1	-	119987816	119989255	4	4	C4L144
group998	Naja-naja	CM019151.1	-	122000001	122002859	4	4	C4L145
group744	Naja-naja	CM019151.1	-	123809999	123820000	4	4	C4L146
group1152	Naja-naja	CM019151.1	-	123810075	123815833	4	4	C4L147
group1046	Naja-naja	CM019151.1	-	123902276	123919699	4	4	C4L148
group809	Naja-naja	CM019151.1	-	123984213	123992407	4	4	C4L149
group306	Naja-naja	CM019151.1	-	124260001	124276541	4	4	C4L150
group2127	Naja-naja	CM019151.1	+	126369505	126370870	4	4	C4L151
group2842	Naja-naja	CM019151.1	+	127160002	127168444	4	4	C4L152
group942	Naja-naja	CM019151.1	+	127249979	127260000	4	4	C4L153
group748	Naja-naja	CM019151.1	-	127544269	127549434	4	4	C4L154
group826	Naja-naja	CM019151.1	-	128230571	128239809	4	4	C4L155
group1219	Naja-naja	CM019151.1	-	130640001	130648806	4	4	C4L156
group1467	Naja-naja	CM019151.1	-	130642335	130656131	4	4	C4L157
group644	Naja-naja	CM019151.1	-	130853371	130859462	4	4	C4L158
group1355	Naja-naja	CM019151.1	-	130920003	130928554	4	4	C4L159
group734	Naja-naja	CM019151.1	-	130957420	130959607	4	4	C4L160
group1003	Naja-naja	CM019151.1	-	130972401	130980000	4	4	C4L161
group1208	Naja-naja	CM019151.1	+	131380618	131392521	4	4	C4L162
group1609	Naja-naja	CM019151.1	+	136187307	136189510	4	4	C4L163
group1848	Naja-naja	CM019151.1	-	137770161	137779993	4	4	C4L164
group1406	Naja-naja	CM019151.1	-	137841936	137848995	4	4	C4L165
group384	Naja-naja	CM019151.1	+	139685066	139699994	4	4	C4L166
group1722	Naja-naja	CM019151.1	-	140752084	140760000	4	4	C4L167
group1410	Naja-naja	CM019151.1	-	141789912	141800000	4	4	C4L168
group1558	Naja-naja	CM019151.1	-	142121332	142128665	4	4	C4L169
group2233	Naja-naja	CM019151.1	+	144130744	144138643	4	4	C4L170
group1515	Naja-naja	CM019151.1	+	144180002	144184744	4	4	C4L171
group1047	Naja-naja	CM019151.1	+	144340002	144340510	4	4	C4L172
group1197	Naja-naja	CM019151.1	+	144561862	144564888	4	4	C4L173
group2142	Naja-naja	CM019151.1	+	146500001	146507721	4	4	C4L174
group211	Naja-naja	CM019151.1	-	147454883	147456256	4	4	C4L175
group2409	Naja-naja	CM019151.1	-	149340002	149349321	4	4	C4L176
group1015	Naja-naja	CM019151.1	-	152280002	152289172	4	4	C4L177
group1393	Naja-naja	CM019151.1	-	152309072	152311358	4	4	C4L178
group2077	Naja-naja	CM019151.1	-	155355407	155359997	4	4	C4L179
group1146	Naja-naja	CM019151.1	+	155684292	155685937	4	4	C4L180
group1460	Naja-naja	CM019151.1	+	157757387	157759070	4	4	C4L181
group2243	Naja-naja	CM019151.1	+	157920001	157926102	4	4	C4L182
group1452	Naja-naja	CM019151.1	+	157987414	157991156	4	4	C4L183
group903	Naja-naja	CM019151.1	+	158121258	158127916	4	4	C4L184
group2613	Naja-naja	CM019151.1	+	158167609	158173848	4	4	C4L185
group773	Naja-naja	CM019151.1	+	158203733	158205252	4	4	C4L186
group3054	Naja-naja	CM019151.1	-	158522285	158530983	4	4	C4L187
group1586	Naja-naja	CM019151.1	+	158782213	158784508	4	4	C4L188
group1080	Naja-naja	CM019151.1	-	160462078	160478203	4	4	C4L189
group1562	Naja-naja	CM019151.1	-	161178438	161180000	4	4	C4L190
group2583	Naja-naja	CM019151.1	-	161500260	161507592	4	4	C4L191
group3102	Naja-naja	CM019151.1	-	161618645	161619999	4	4	C4L192
group2653	Naja-naja	CM019151.1	-	161620001	161634771	4	4	C4L193
group1633	Naja-naja	CM019151.1	-	162230244	162239722	4	4	C4L194
group839	Naja-naja	CM019151.1	-	163224224	163232548	4	4	C4L195
group469	Naja-naja	CM019151.1	-	166480170	166482707	4	4	C4L196
group1233	Naja-naja	CM019151.1	+	167982837	167984508	4	4	C4L197
group1476	Naja-naja	CM019151.1	-	168646574	168650794	4	4	C4L198
group2082	Naja-naja	CM019151.1	-	169040001	169050247	4	4	C4L199
group1215	Naja-naja	CM019151.1	-	169049154	169055152	4	4	C4L200
group1335	Naja-naja	CM019151.1	-	169080001	169081509	4	4	C4L201
group1318	Naja-naja	CM019151.1	-	169106132	169111332	4	4	C4L202
group715	Naja-naja	CM019151.1	-	169161601	169172336	4	4	C4L203
group1925	Naja-naja	CM019151.1	+	169386821	169395890	4	4	C4L204
group237	Naja-naja	CM019151.1	+	169660001	169669559	4	4	C4L205
group2264	Naja-naja	CM019151.1	+	171200425	171210723	4	4	C4L206
group2890	Naja-naja	CM019151.1	-	171820002	171833085	4	4	C4L207
group2608	Naja-naja	CM019151.1	-	176680002	176686514	4	4	C4L208
group1445	Naja-naja	CM019151.1	-	177065841	177069345	4	4	C4L209
group958	Naja-naja	CM019151.1	-	177163677	177173336	4	4	C4L210
group696	Naja-naja	CM019151.1	-	177215237	177217041	4	4	C4L211
group1463	Naja-naja	CM019151.1	-	177217049	177220000	4	4	C4L212
group2717	Naja-naja	CM019151.1	-	178751713	178760000	4	4	C4L213
group2702	Naja-naja	CM019151.1	-	178884893	178897471	4	4	C4L214
group598	Naja-naja	CM019151.1	+	179301586	179320000	4	4	C4L215
group160	Naja-naja	CM019151.1	-	183240001	183259974	4	4	C4L216
group378	Naja-naja	CM019151.1	-	189086469	189088821	4	4	C4L217
group1784	Naja-naja	CM019151.1	+	189292672	189300000	4	4	C4L218
group2339	Naja-naja	CM019152.1	+	540001	557358	5	5	C5L1
group751	Naja-naja	CM019152.1	+	1992642	1999995	5	5	C5L2
group1043	Naja-naja	CM019152.1	+	2955275	2960000	5	5	C5L3
group1512	Naja-naja	CM019152.1	-	4140002	4147624	5	5	C5L4
group1431	Naja-naja	CM019152.1	-	4161874	4169866	5	5	C5L5
group524	Naja-naja	CM019152.1	-	7326254	7339727	5	5	C5L6
group2856	Naja-naja	CM019152.1	+	7531409	7539604	5	5	C5L7
group1059	Naja-naja	CM019152.1	+	7898370	7900000	5	5	C5L8
group1572	Naja-naja	CM019152.1	+	8855587	8860000	5	5	C5L9
group2209	Naja-naja	CM019152.1	-	9120001	9125514	5	5	C5L10
group2734	Naja-naja	CM019152.1	-	9140639	9159946	5	5	C5L11
group690	Naja-naja	CM019152.1	-	9322178	9326670	5	5	C5L12
group2369	Naja-naja	CM019152.1	+	9602621	9612517	5	5	C5L13
group619	Naja-naja	CM019152.1	+	10381654	10393336	5	5	C5L14
group1280	Naja-naja	CM019152.1	+	14367147	14371980	5	5	C5L15
group1715	Naja-naja	CM019152.1	+	14371197	14379457	5	5	C5L16
group749	Naja-naja	CM019152.1	+	14380001	14396323	5	5	C5L17
group684	Naja-naja	CM019152.1	-	14469879	14479999	5	5	C5L18
group1185	Naja-naja	CM019152.1	+	16840001	16860000	5	5	C5L19
group2699	Naja-naja	CM019152.1	-	20480011	20490864	5	5	C5L20
group2904	Naja-naja	CM019152.1	-	20644580	20657652	5	5	C5L21
group2293	Naja-naja	CM019152.1	+	21825485	21836583	5	5	C5L22
group50	Naja-naja	CM019152.1	+	22140001	22144488	5	5	C5L23
group412	Naja-naja	CM019152.1	+	25020001	25038972	5	5	C5L24
group2715	Naja-naja	CM019152.1	+	25061124	25077016	5	5	C5L25
group1648	Naja-naja	CM019152.1	-	25800564	25807800	5	5	C5L26
group1977	Naja-naja	CM019152.1	-	26640002	26642575	5	5	C5L27
group1289	Naja-naja	CM019152.1	-	29607567	29613508	5	5	C5L28
group161	Naja-naja	CM019152.1	+	30740001	30745901	5	5	C5L29
group1626	Naja-naja	CM019152.1	+	30951463	30960000	5	5	C5L30
group364	Naja-naja	CM019152.1	+	31425901	31436334	5	5	C5L31
group1462	Naja-naja	CM019152.1	+	32200992	32203501	5	5	C5L32
group439	Naja-naja	CM019152.1	-	35812466	35817868	5	5	C5L33
group102	Naja-naja	CM019152.1	+	35940001	35957961	5	5	C5L34
group1204	Naja-naja	CM019152.1	-	36251630	36259999	5	5	C5L35
group118	Naja-naja	CM019152.1	+	37441367	37448228	5	5	C5L36
group158	Naja-naja	CM019152.1	+	37505188	37513419	5	5	C5L37
group1757	Naja-naja	CM019152.1	+	38054207	38060000	5	5	C5L38
group1085	Naja-naja	CM019152.1	-	38411198	38419108	5	5	C5L39
group891	Naja-naja	CM019152.1	+	39589925	39596660	5	5	C5L40
group1169	Naja-naja	CM019152.1	+	39909778	39916577	5	5	C5L41
group1516	Naja-naja	CM019152.1	+	41900381	41913223	5	5	C5L42
group1790	Naja-naja	CM019152.1	+	43453740	43460000	5	5	C5L43
group2234	Naja-naja	CM019152.1	-	44027181	44033916	5	5	C5L44
group2590	Naja-naja	CM019152.1	+	46222951	46240000	5	5	C5L45
group112	Naja-naja	CM019152.1	-	46760947	46774864	5	5	C5L46
group2473	Naja-naja	CM019152.1	+	50141422	50150851	5	5	C5L47
group121	Naja-naja	CM019152.1	+	50225971	50239999	5	5	C5L48
group468	Naja-naja	CM019152.1	+	50565278	50580000	5	5	C5L49
group2266	Naja-naja	CM019152.1	+	50605724	50619999	5	5	C5L50
group1011	Naja-naja	CM019152.1	-	50920566	50937211	5	5	C5L51
group59	Naja-naja	CM019152.1	-	54177177	54179999	5	5	C5L52
group9	Naja-naja	CM019152.1	-	55470330	55479998	5	5	C5L53
group2136	Naja-naja	CM019152.1	-	58732739	58735025	5	5	C5L54
group2952	Naja-naja	CM019152.1	+	59971483	59980000	5	5	C5L55
group141	Naja-naja	CM019152.1	+	59980284	59994686	5	5	C5L56
group1791	Naja-naja	CM019152.1	-	60080267	60099694	5	5	C5L57
group3025	Naja-naja	CM019152.1	+	60200260	60220000	5	5	C5L58
group2516	Naja-naja	CM019152.1	+	60271279	60279999	5	5	C5L59
group2354	Naja-naja	CM019152.1	+	60520001	60527782	5	5	C5L60
group1551	Naja-naja	CM019152.1	-	61675625	61679055	5	5	C5L61
group2643	Naja-naja	CM019152.1	+	61881210	61889994	5	5	C5L62
group1896	Naja-naja	CM019152.1	+	61909244	61912645	5	5	C5L63
group1603	Naja-naja	CM019152.1	-	61912710	61920000	5	5	C5L64
group234	Naja-naja	CM019152.1	+	61920002	61924373	5	5	C5L65
group493	Naja-naja	CM019152.1	+	61935032	61939180	5	5	C5L66
group2656	Naja-naja	CM019152.1	+	61980001	61995628	5	5	C5L67
group2587	Naja-naja	CM019152.1	+	61980002	61983334	5	5	C5L68
group1835	Naja-naja	CM019152.1	-	62080002	62083869	5	5	C5L69
group2288	Naja-naja	CM019152.1	+	62233711	62238038	5	5	C5L70
group2140	Naja-naja	CM019152.1	+	62266668	62277157	5	5	C5L71
group2348	Naja-naja	CM019152.1	+	62380633	62394581	5	5	C5L72
group1716	Naja-naja	CM019152.1	-	62500077	62519912	5	5	C5L73
group1557	Naja-naja	CM019153.1	+	5567616	5578660	6	6	C6L1
group1020	Naja-naja	CM019153.1	-	5889767	5899886	6	6	C6L2
group1288	Naja-naja	CM019153.1	-	7520510	7536937	6	6	C6L3
group1621	Naja-naja	CM019153.1	-	7900001	7902528	6	6	C6L4
group1622	Naja-naja	CM019153.1	-	9181523	9189756	6	6	C6L5
group1916	Naja-naja	CM019153.1	+	10380001	10395961	6	6	C6L6
group2879	Naja-naja	CM019153.1	+	12140001	12159603	6	6	C6L7
group2232	Naja-naja	CM019153.1	+	12800001	12818756	6	6	C6L8
group1900	Naja-naja	CM019153.1	+	12823664	12838881	6	6	C6L9
group1025	Naja-naja	CM019153.1	-	13849039	13853223	6	6	C6L10
group1158	Naja-naja	CM019153.1	-	14001803	14020000	6	6	C6L11
group1103	Naja-naja	CM019153.1	-	14160002	14162343	6	6	C6L12
group1161	Naja-naja	CM019153.1	+	14181005	14193859	6	6	C6L13
group2019	Naja-naja	CM019153.1	+	14241635	14255762	6	6	C6L14
group1605	Naja-naja	CM019153.1	+	16480147	16500000	6	6	C6L15
group1424	Naja-naja	CM019153.1	-	16764065	16772487	6	6	C6L16
group1569	Naja-naja	CM019153.1	-	16820001	16824983	6	6	C6L17
group2822	Naja-naja	CM019153.1	+	17926930	17933170	6	6	C6L18
group1065	Naja-naja	CM019153.1	-	19133760	19135492	6	6	C6L19
group935	Naja-naja	CM019153.1	+	19400001	19407107	6	6	C6L20
group2839	Naja-naja	CM019153.1	+	19460001	19466520	6	6	C6L21
group971	Naja-naja	CM019153.1	+	19484619	19493267	6	6	C6L22
group1367	Naja-naja	CM019153.1	+	19760084	19767066	6	6	C6L23
group850	Naja-naja	CM019153.1	+	19913554	19917326	6	6	C6L24
group420	Naja-naja	CM019153.1	+	21440002	21447087	6	6	C6L25
group1181	Naja-naja	CM019153.1	-	23093813	23099999	6	6	C6L26
group2096	Naja-naja	CM019153.1	-	23140002	23159467	6	6	C6L27
group774	Naja-naja	CM019153.1	-	23180001	23182412	6	6	C6L28
group1733	Naja-naja	CM019153.1	-	25405943	25408462	6	6	C6L29
group882	Naja-naja	CM019153.1	-	25746723	25753156	6	6	C6L30
group99	Naja-naja	CM019153.1	+	26908296	26917817	6	6	C6L31
group1123	Naja-naja	CM019153.1	-	27756541	27760000	6	6	C6L32
group1298	Naja-naja	CM019153.1	+	30301597	30320000	6	6	C6L33
group1434	Naja-naja	CM019153.1	-	30407272	30419165	6	6	C6L34
group1485	Naja-naja	CM019153.1	-	30420001	30424742	6	6	C6L35
group390	Naja-naja	CM019153.1	-	35140001	35159000	6	6	C6L36
group1303	Naja-naja	CM019153.1	+	38889433	38900000	6	6	C6L37
group2966	Naja-naja	CM019153.1	-	38989661	38995063	6	6	C6L38
group2840	Naja-naja	CM019153.1	-	39020002	39026382	6	6	C6L39
group1382	Naja-naja	CM019153.1	+	39360001	39367365	6	6	C6L40
group924	Naja-naja	CM019153.1	+	39460001	39460873	6	6	C6L41
group2614	Naja-naja	CM019153.1	+	39484695	39497531	6	6	C6L42
group21	Naja-naja	CM019153.1	-	40100002	40112022	6	6	C6L43
group934	Naja-naja	CM019153.1	-	41385155	41397771	6	6	C6L44
group884	Naja-naja	CM019153.1	-	41420002	41431392	6	6	C6L45
group2258	Naja-naja	CM019153.1	+	41660163	41676958	6	6	C6L46
group941	Naja-naja	CM019153.1	+	41898821	41900000	6	6	C6L47
group689	Naja-naja	CM019153.1	-	42008268	42012799	6	6	C6L48
group2371	Naja-naja	CM019153.1	+	50387672	50396826	6	6	C6L49
group3085	Naja-naja	CM019153.1	-	50491828	50498835	6	6	C6L50
group2452	Naja-naja	CM019153.1	-	50521504	50538019	6	6	C6L51
group2919	Naja-naja	CM019153.1	-	50906258	50919791	6	6	C6L52
group115	Naja-naja	CM019153.1	+	51825165	51830226	6	6	C6L53
group3020	Naja-naja	CM019153.1	+	52013219	52019976	6	6	C6L54
group2772	Naja-naja	CM019153.1	-	52520002	52526189	6	6	C6L55
group2555	Naja-naja	CM019153.1	+	53106546	53119826	6	6	C6L56
group3009	Naja-naja	CM019153.1	-	53243016	53256316	6	6	C6L57
group1584	Naja-naja	CM019153.1	+	53371001	53378580	6	6	C6L58
group2749	Naja-naja	CM019153.1	+	53458906	53460000	6	6	C6L59
group16	Naja-naja	CM019153.1	+	53532997	53538787	6	6	C6L60
group2360	Naja-naja	CM019153.1	+	53649999	53656216	6	6	C6L61
group2726	Naja-naja	CM019153.1	-	53696425	53698043	6	6	C6L62
group2626	Naja-naja	CM019153.1	+	53800006	53814757	6	6	C6L63
group2561	Naja-naja	CM019153.1	-	53820193	53836098	6	6	C6L64
group2165	Naja-naja	CM019154.1	+	67998	79959	7	7	C7L1
group1886	Naja-naja	CM019154.1	+	1160943	1174910	7	7	C7L2
group73	Naja-naja	CM019154.1	+	3820045	3832953	7	7	C7L3
group1256	Naja-naja	CM019154.1	+	3870383	3879830	7	7	C7L4
group583	Naja-naja	CM019154.1	+	5040001	5056196	7	7	C7L5
group741	Naja-naja	CM019154.1	-	5629769	5631621	7	7	C7L6
group1246	Naja-naja	CM019154.1	-	6701284	6716710	7	7	C7L7
group1718	Naja-naja	CM019154.1	-	7860431	7879650	7	7	C7L8
group1456	Naja-naja	CM019154.1	+	9013204	9020000	7	7	C7L9
group1457	Naja-naja	CM019154.1	+	10340001	10341323	7	7	C7L10
group2170	Naja-naja	CM019154.1	-	14231173	14239492	7	7	C7L11
group2525	Naja-naja	CM019154.1	+	18471169	18478090	7	7	C7L12
group1579	Naja-naja	CM019154.1	-	18929531	18937973	7	7	C7L13
group1159	Naja-naja	CM019154.1	+	19766606	19768135	7	7	C7L14
group2401	Naja-naja	CM019154.1	+	21080001	21089092	7	7	C7L15
group1138	Naja-naja	CM019154.1	-	22142896	22153304	7	7	C7L16
group472	Naja-naja	CM019154.1	+	23408192	23419999	7	7	C7L17
group369	Naja-naja	CM019154.1	+	23520001	23524585	7	7	C7L18
group1351	Naja-naja	CM019154.1	+	23589423	23597172	7	7	C7L19
group514	Naja-naja	CM019154.1	+	24241124	24248987	7	7	C7L20
group2325	Naja-naja	CM019154.1	-	24324496	24339997	7	7	C7L21
group174	Naja-naja	CM019154.1	+	25470513	25478016	7	7	C7L22
group1798	Naja-naja	CM019154.1	+	25685155	25696843	7	7	C7L23
group766	Naja-naja	CM019154.1	-	26180201	26189451	7	7	C7L24
group2217	Naja-naja	CM019154.1	-	26483651	26486790	7	7	C7L25
group1713	Naja-naja	CM019154.1	+	28827315	28832740	7	7	C7L26
group195	Naja-naja	CM019154.1	+	29707895	29712970	7	7	C7L27
group1412	Naja-naja	CM019154.1	-	29960001	29964212	7	7	C7L28
group1171	Naja-naja	CM019154.1	-	31403546	31416793	7	7	C7L29
group403	Naja-naja	CM019154.1	-	34743131	34757210	7	7	C7L30
group1739	Naja-naja	CM019154.1	-	35280001	35299278	7	7	C7L31
group178	Naja-naja	CM019154.1	-	36880002	36890278	7	7	C7L32
group2407	Naja-naja	CM019154.1	+	38570588	38573701	7	7	C7L33
group167	Naja-naja	CM019154.1	+	39514343	39520000	7	7	C7L34
group1010	Naja-naja	CM019154.1	+	40458422	40460000	7	7	C7L35
group817	Naja-naja	CM019154.1	-	40540002	40547554	7	7	C7L36
group913	Naja-naja	CM019154.1	-	41135063	41140000	7	7	C7L37
group218	Naja-naja	CM019154.1	+	42760229	42778156	7	7	C7L38
group985	Naja-naja	CM019154.1	-	43990642	43995272	7	7	C7L39
group899	Naja-naja	CM019154.1	-	44440002	44451773	7	7	C7L40
